name,sells_surfboards,gives_lessons,latitude,longitude
Machine 1,0,1,40.71239185,-73.89893781
Machine 2,1,0,40.84141327,-74.00700456
Machine 3,1,0,40.57192448,-73.98860006
Machine 4,0,0,40.83680381,-73.96926076
Machine 5,0,1,40.79613253,-74.0655204
Machine 6,1,1,40.76568496,-74.01560411
Machine 7,1,1,40.77963317,-73.84395332
Machine 8,1,0,40.62945596,-74.16002742
Machine 9,1,1,40.64588453,-74.12586254
Machine 10,1,1,40.75742227,-74.18215192
Machine 11,0,0,40.75868209,-74.12202335
Machine 12,0,0,40.64603653,-74.08431778
Machine 13,0,0,40.76572427,-73.99225187
Machine 14,0,1,40.59592169,-73.98133457
Machine 15,0,0,40.70910859,-74.0128526
Machine 16,0,1,40.61854044,-74.11123314
Machine 17,0,1,40.63612204,-74.07375718
Machine 18,0,1,40.6744112,-74.11413158
Machine 19,1,1,40.76047906,-74.04561495
Machine 20,0,1,40.7835044,-74.0146926
Machine 21,1,0,40.6792627,-73.99869692
Machine 22,0,0,40.67995864,-73.88777055
Machine 23,1,1,40.78745899,-74.15639602
Machine 24,0,1,40.80510029,-74.02306879
Machine 25,1,0,40.78547883,-74.08326239
Machine 26,0,1,40.63327756,-73.90126285
Machine 27,0,1,40.83575656,-73.93526048
Machine 28,0,1,40.81672733,-74.03901399
Machine 29,1,0,40.61682382,-73.91049637
Machine 30,0,1,40.79225191,-74.04801053
Machine 31,1,1,40.8286041,-74.04682063
Machine 32,0,1,40.66973387,-74.09443659
Machine 33,0,1,40.79477583,-73.95838148
Machine 34,0,1,40.7844489,-74.13044927
Machine 35,1,1,40.71733878,-74.10753563
Machine 36,0,0,40.72728633,-74.0569622
Machine 37,1,0,40.71164463,-74.00323725
Machine 38,0,1,40.7211591,-73.89405994
Machine 39,1,1,40.7442436,-74.14907941
Machine 40,0,0,40.71630818,-73.96239176
Machine 41,0,0,40.66993293,-74.01601474
Machine 42,1,0,40.58390796,-73.95211459
Machine 43,0,1,40.78595001,-74.17249961
Machine 44,0,0,40.63319364,-73.85850192
Machine 45,1,1,40.74388832,-73.9330714
Machine 46,1,0,40.79556123,-73.98149099
Machine 47,0,1,40.72015814,-74.01028206
Machine 48,0,1,40.70684095,-73.90982646
Machine 49,1,1,40.61148061,-73.87409881
Machine 50,1,1,40.69621963,-73.82406262
Machine 51,0,1,40.81211884,-73.86637899
Machine 52,1,0,40.70144783,-74.05933364
Machine 53,0,0,40.6678918,-74.13240323
Machine 54,1,1,40.7852404,-74.05915454
Machine 55,0,0,40.59971416,-73.90839568
Machine 56,1,1,40.73082116,-74.14305147
Machine 57,0,1,40.78149215,-73.92130589
Machine 58,0,1,40.6435434,-73.92635313
Machine 59,0,0,40.70105315,-74.00454755
Machine 60,1,1,40.59919588,-73.94614027
Machine 61,1,1,40.66422632,-74.18294874
Machine 62,1,1,40.66960376,-73.88048692
Machine 63,1,0,40.6959655,-73.91254219
Machine 64,1,1,40.71785952,-74.05076085
Machine 65,1,0,40.66104818,-74.168511
Machine 66,0,0,40.69331953,-74.18035298
Machine 67,0,1,40.80898145,-74.14422033
Machine 68,0,0,40.78144748,-74.04428254
Machine 69,0,1,40.68962942,-74.12854207
Machine 70,1,0,40.84560222,-74.03300125
Machine 71,1,1,40.73803307,-74.01516189
Machine 72,0,0,40.83257843,-73.93893128
Machine 73,0,1,40.77799701,-74.06418709
Machine 74,1,1,40.6969896,-74.02676695
Machine 75,0,0,40.77016377,-73.90061032
Machine 76,0,1,40.82951674,-73.9823089
Machine 77,1,0,40.61651713,-74.03892265
Machine 78,1,1,40.6986213,-73.93160946
Machine 79,1,0,40.7248167,-74.13383534
Machine 80,0,0,40.7934637,-74.05540433
Machine 81,0,1,40.67796362,-73.94074868
Machine 82,0,1,40.62369703,-74.03619621
Machine 83,1,0,40.77434747,-74.07485978
Machine 84,0,1,40.7229779,-73.82214022
Machine 85,1,0,40.6643368,-73.98392037
Machine 86,1,0,40.76717638,-74.10319071
Machine 87,0,1,40.69154549,-73.93309317
Machine 88,1,1,40.67773403,-73.90425397
